artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Van Halen,10,68.3,68.0,0.0,1.5,1.0,0.5014000000000001,0.8592000000000001,-6.8578,0.06877,0.12077719999999999,0.08146557899999998,0.17221999999999998,0.6066,120.1944
Doja Cat,11,68.18181818181819,82.0,0.7272727272727273,1.4545454545454546,1.2727272727272727,0.7545454545454546,0.7274545454545454,-5.315545454545454,0.13034545454545454,0.16690000000000002,0.003977531818181818,0.15622727272727274,0.5879090909090909,120.71854545454545
AC/DC,28,68.10714285714286,65.5,0.0,1.1071428571428572,1.0,0.5040714285714286,0.8376071428571429,-4.7919285714285715,0.07777142857142857,0.028863551071428573,0.08938387964285714,0.2238,0.5557857142857142,130.10389285714285
Vishal Chandrashekhar,9,68.0,68.0,0.0,1.0,2.5555555555555554,0.5434444444444444,0.3966666666666667,-11.236777777777778,0.05771111111111111,0.5706666666666667,3.822222222222222e-07,0.19697777777777778,0.616,151.06444444444443
BTS,155,67.89677419354838,67.0,0.0,1.0580645161290323,1.0774193548387097,0.6209225806451613,0.7615741935483871,-4.789309677419355,0.11379741935483871,0.0940803870967742,5.3941290322580644e-05,0.1914774193548387,0.5216322580645161,123.00636774193549
Shakira,9,67.88888888888889,75.0,0.0,1.2222222222222223,1.7777777777777777,0.7711111111111111,0.762,-4.757666666666667,0.09644444444444444,0.18821888888888888,1.7347777777777776e-05,0.18911111111111112,0.7281111111111112,124.91422222222224
Sachet Tandon,7,67.85714285714286,67.0,0.0,1.0,2.4285714285714284,0.44871428571428573,0.6441428571428572,-5.9918571428571425,0.04747142857142857,0.37253428571428576,3.528571428571429e-07,0.21428571428571427,0.5064285714285715,140.80357142857142
Amy Winehouse,16,67.6875,65.5,0.25,1.1875,1.0,0.6019375,0.542,-9.594,0.053093749999999995,0.21750625,0.00145224625,0.1557,0.5831875,102.3863125
Beret,8,67.625,67.0,0.0,1.0,1.75,0.55625,0.665,-5.37025,0.0730875,0.2802625,1.2875e-07,0.1550375,0.460125,105.608125
Darshan Raval,10,67.6,67.5,0.0,1.0,1.4,0.4742,0.5286,-7.5857,0.04245,0.6982999999999999,1.155e-06,0.15523,0.3895,99.9084
Kygo,21,67.52380952380952,70.0,0.0,2.0,2.142857142857143,0.6496190476190475,0.6053809523809524,-6.6149047619047625,0.06353333333333333,0.24695714285714285,5.748095238095238e-06,0.1529952380952381,0.4521904761904762,114.14804761904762
King Gnu,5,67.4,67.0,0.0,1.0,1.0,0.5748,0.7884,-5.4582,0.12492,0.342866,1.24e-05,0.1986,0.5784,123.4094
Yuuri,5,67.2,71.0,0.0,1.0,1.0,0.4908,0.6274,-5.1922,0.03778,0.3766,0.0,0.2956,0.6272,160.7676
Cheat Codes,5,67.2,67.0,0.2,2.6,2.0,0.6712,0.7043999999999999,-5.1574,0.13579999999999998,0.046686,0.0,0.1847,0.49799999999999994,111.9728
Ruel,5,67.2,67.0,0.2,1.2,1.0,0.5838,0.5622,-6.6068,0.06728,0.2141566,2.1932e-05,0.22679999999999997,0.44279999999999997,125.83160000000001
Greta Van Fleet,6,67.16666666666667,67.0,0.0,1.8333333333333333,1.0,0.4611666666666667,0.8706666666666667,-4.172166666666667,0.04596666666666666,0.081985,0.05507235,0.20653333333333332,0.5078333333333332,137.44883333333334
Metallica,28,67.07142857142857,65.5,0.14285714285714285,1.7857142857142858,1.0357142857142858,0.4193928571428572,0.8451785714285714,-6.462142857142857,0.07837142857142856,0.004868235714285714,0.13184709857142857,0.1354,0.3747857142857143,126.70100000000001
