artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Nacho,14,0.07142857142857142,0.0,0.0,3.7857142857142856,2.857142857142857,0.7543571428571428,0.8071428571428572,-4.565642857142857,0.07286428571428571,0.15566428571428573,1.5274285714285713e-05,0.09456428571428573,0.6902857142857143,100.46242857142856
Azhirock,12,0.08333333333333333,0.0,0.5,1.0,1.0,0.42808333333333337,0.8815833333333334,-5.302166666666667,0.08745833333333335,0.026628083333333333,0.007885379999999999,0.2914083333333333,0.42975,137.07558333333333
Holly Humberstone,11,0.09090909090909091,0.0,0.18181818181818182,1.6363636363636365,1.0,0.5336363636363637,0.3918181818181818,-8.267363636363637,0.056890909090909096,0.755,0.0004669690909090909,0.15154545454545454,0.36263636363636365,129.22827272727272
Mariah Angeliq,43,0.09302325581395349,0.0,0.46511627906976744,1.930232558139535,1.6511627906976745,0.7287674418604652,0.7114186046511628,-4.191302325581395,0.11388372093023257,0.14693488372093022,0.028208599069767443,0.13179302325581396,0.6031627906976744,143.8176511627907
Living Room,10,0.1,0.0,0.0,1.0,1.0,0.6441,0.5335,-11.2121,0.050019999999999995,0.348789,0.7543,0.18031999999999998,0.4119,106.98620000000001
Lalo Ebratt,10,0.1,0.0,0.1,4.0,3.2,0.7098,0.7426,-4.5772,0.10535999999999998,0.19039999999999999,9.09e-05,0.14617,0.8323,100.65060000000001
Integral Rigor,10,0.1,0.0,0.1,1.0,1.0,0.3242,0.8375,-6.6049999999999995,0.10205,3.4265e-05,0.844,0.13955,0.23803000000000002,148.0102
Jaleh Negari,10,0.1,0.0,0.0,1.0,1.0,0.28203,0.29107500000000003,-20.3809,0.08136,0.7735000000000001,0.8493,0.16158,0.09494,115.6484
Randall King,10,0.1,0.0,0.0,1.0,1.0,0.6394,0.7792999999999999,-5.6525,0.032619999999999996,0.069587,0.0010478100000000001,0.21918,0.5967,116.37960000000001
Mercedes Sosa,10,0.1,0.0,0.0,1.0,1.5,0.5445,0.3234,-10.2091,0.04041,0.72229,0.017243480999999998,0.27233,0.37070000000000003,115.8987
Beshenitar,9,0.1111111111111111,0.0,0.4444444444444444,1.0,1.0,0.26374444444444445,0.9633333333333334,-5.631888888888889,0.18912222222222222,0.231486,0.29145004666666663,0.2542111111111111,0.042355555555555556,134.95633333333333
Nikolay Erdenko,16,0.125,0.0,0.0,1.0,1.1875,0.3889375,0.33406875,-15.0473125,0.0521375,0.802875,0.0598871375,0.17,0.2643875,112.6275
Ella Henderson,8,0.125,0.0,0.25,1.0,2.125,0.687,0.655375,-4.7885,0.0478875,0.30965,0.00015155,0.13435,0.349,97.798125
Jamie Cullum,31,0.12903225806451613,0.0,0.0,2.0,1.032258064516129,0.538516129032258,0.535483870967742,-6.828322580645161,0.05149032258064516,0.31403419354838713,0.0,0.16129677419354838,0.48896774193548387,134.08538709677418
Chris Rea,7,0.14285714285714285,0.0,0.0,1.0,1.0,0.511,0.5452857142857143,-10.809285714285712,0.036028571428571424,0.4468571428571429,7.814285714285714e-05,0.21557142857142855,0.7545000000000001,154.1212857142857
Nikolay Kopylov,44,0.1590909090909091,0.0,0.0,1.0,1.0,0.38386363636363635,0.3548409090909091,-10.515181818181818,0.06190454545454545,0.9685227272727274,0.059767518181818184,0.18225227272727273,0.25525681818181817,104.38625
Martin Shamoonpour,12,0.16666666666666666,0.0,0.0,1.0,1.0,0.3829166666666666,0.3824083333333333,-12.797583333333334,0.06399166666666667,0.7199166666666666,0.5686666666666667,0.152025,0.38364166666666666,105.74025
Antônio Carlos Jobim,6,0.16666666666666666,0.0,0.0,5.0,1.5,0.5683333333333334,0.33049999999999996,-14.998166666666668,0.035333333333333335,0.7921666666666667,0.3349085333333333,0.1257,0.6061666666666666,112.69766666666668
Shivered,6,0.16666666666666666,0.0,0.0,1.0,1.0,0.5033333333333334,0.8991666666666668,-5.143166666666667,0.0512,8.029666666666667e-05,0.01933383333333333,0.24021666666666666,0.4135,144.32066666666665
Gloria Trevi,6,0.16666666666666666,0.0,0.16666666666666666,1.0,1.3333333333333333,0.6553333333333333,0.7999999999999999,-4.001166666666666,0.08858333333333333,0.18591666666666665,0.0025826483333333335,0.24903333333333333,0.5601666666666666,141.46133333333333
Ravyn Lenae,6,0.16666666666666666,0.0,0.5,1.6666666666666667,1.5,0.6831666666666667,0.7761666666666667,-6.9768333333333326,0.06774999999999999,0.12738000000000002,0.06680683333333333,0.09738333333333334,0.68,116.05083333333334
Selena,6,0.16666666666666666,0.0,0.0,1.0,1.1666666666666667,0.6418333333333334,0.778,-5.896,0.04831666666666667,0.29195,1.4595e-05,0.17135,0.8968333333333334,136.51383333333334
Volbeat,6,0.16666666666666666,0.0,0.16666666666666666,4.0,1.0,0.35033333333333333,0.8928333333333334,-4.402,0.045533333333333335,0.00021913333333333334,0.12507000000000001,0.06088333333333334,0.3248333333333333,124.168
Izabella Yurieva,6,0.16666666666666666,0.0,0.16666666666666666,1.0,1.5,0.518,0.19628333333333334,-13.83,0.06213333333333334,0.9895,0.1345161666666667,0.12845,0.45449999999999996,92.66833333333334
Jerry Di,5,0.2,0.0,0.0,2.6,5.2,0.7882,0.729,-3.5292000000000003,0.27999999999999997,0.26244,4.7600000000000005e-05,0.15,0.5993999999999999,139.413
Mary J. Blige,10,0.2,0.0,0.0,1.0,1.4,0.5276,0.47350000000000003,-7.766299999999999,0.07532,0.53644,0.0001318,0.13184,0.3142,130.3133
Alex Sensation,5,0.2,0.0,0.0,3.0,2.8,0.7932,0.8017999999999998,-3.6444,0.07488,0.21223999999999998,1.456e-06,0.07304000000000001,0.7684,97.4014
Vince Gill,5,0.2,0.0,0.0,1.0,1.8,0.4662,0.19060000000000002,-12.020199999999999,0.03002,0.8152000000000001,1.0388e-05,0.1402,0.2474,103.8074
Keith Sweat,5,0.2,0.0,0.0,1.0,1.6,0.683,0.484,-9.591,0.07212,0.22968000000000002,0.00144122,0.20934,0.5138,125.2776
